Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
bff9d9d5-ee3d-d852-9c67-36d8361a4a4a,1945-01-11,,999-45-1987,S99937156,X61745412X,Mr.,Rosario163,,Ortiz186,,,S,asian,nonhispanic,M,Hartford  Connecticut  US,438 Schowalter Bypass,Branford,Connecticut,New Haven County,,0,41.24709611247951,-72.76833917599555,234084.88,557616.91,246352
080b069b-5108-46b6-ecef-6aacd3b9ef3f,1966-11-06,,999-85-1223,S99981008,X67534693X,Mr.,Chester802,Richie600,Aufderhar910,,,M,white,nonhispanic,M,New Britain  Connecticut  US,314 Robel Quay,Monroe,Connecticut,Fairfield County,,0,41.384299226129905,-73.19923121486862,97785.83,160696.09,683121
96a88082-137f-80a2-5283-862ed9b56be9,1967-01-19,,999-29-3163,S99924396,X00666060X,Ms.,Sharda101,Krystina167,Grady603,,,S,white,nonhispanic,F,Shelton  Connecticut  US,369 Roberts Mall,Beacon Falls,Connecticut,New Haven County,,0,41.44538937240123,-73.02322334290973,391908.86,707719.55,131812
8e2d0120-6ecf-9e06-7e2b-99c3ca70d1eb,1916-10-14,1982-01-18,999-10-9190,S99947505,X27200339X,Ms.,Georgette866,,Jacobson885,,,S,white,hispanic,F,Naugatuck  Connecticut  US,121 Rohan Gardens,Bethel,Connecticut,Fairfield County,9001.0,6801,41.33365640480987,-73.40721275235859,962336.29,844769.51,42123
88d9f932-beeb-dab3-0982-21fce29cad49,1955-12-13,,999-79-2310,S99919513,X18583327X,Mr.,Mariano761,Luis923,Wehner319,,,S,white,nonhispanic,M,Brookfield  Connecticut  US,295 Murazik Drive Unit 59,Waterbury,Connecticut,New Haven County,9009.0,6705,41.56470235363681,-72.9693923436109,307411.57,857033.31,117646
4a727f27-bc53-3218-11ff-040d8f5c5ed1,1964-11-19,,999-48-6159,S99919598,X31908563X,Mr.,Milton509,Stan246,Baumbach677,,,M,black,nonhispanic,M,Pemberwick  Connecticut  US,502 Langworth Common Unit 38,Stamford,Connecticut,Fairfield County,9001.0,6903,41.063204917204565,-73.47948787300656,349643.75,702048.11,113334
929fdbf9-4801-37e1-fd1f-929a91f61e49,1957-05-08,,999-67-4327,S99919212,X78433318X,Mrs.,Kelly223,Natalya468,Jakubowski832,,Quitzon246,M,black,nonhispanic,F,Newington  Connecticut  US,144 Larson Junction Unit 63,Hazardville,Connecticut,Hartford County,,0,42.03802676094871,-72.49391224700187,491328.12,1265417.0,127479
4a3660b4-9af6-5fbb-5d47-895d40fac0ce,1967-05-20,,999-82-6233,S99988697,X63158537X,Mr.,Ezra452,Eldridge510,Schroeder447,,,W,white,nonhispanic,M,Fairfield  Connecticut  US,1024 Labadie Estate,Salmon Brook,Connecticut,Hartford County,,0,41.930803831464566,-72.78854266096529,147060.97,43421.39,85707
b69a73c7-74d5-382b-b98d-c863555112df,1926-05-07,2009-09-07,999-79-6014,S99992420,X29796890X,Mr.,Juan88,Ramón841,Vásquez905,,,D,white,hispanic,M,Buenos Aires  Ciudad de Buenos Aires  AR,817 Von Ferry,Wethersfield,Connecticut,Hartford County,9003.0,6109,41.7139186760315,-72.66137071626012,220964.54,337690.18,141938
f99a18f9-5481-e403-28ee-dc15270732c9,1963-03-09,,999-26-8167,S99983744,X18948065X,Mr.,Nathan164,Merlin721,Ernser583,,,S,white,nonhispanic,M,Manchester  Connecticut  US,1043 Kemmer Burg Suite 94,Fairfield,Connecticut,Fairfield County,,0,41.20096032427117,-73.27076034354744,114082.37,187446.73,475801
